NOTICIA DE REFERENCIA: 
	https://www.elconfidencial.com/espana/cataluna/2019-10-20/quim-torra-vuelve-a-llamar-a-pedro-sanchez-sin-obtener-respuesta_2291844/

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-04-23T17:01:00Z	https://www.elconfidencial.com/espana/andalucia/2019-04-23/pp-ciudadanos-pacto-andalucia-incomodidad-vox_1958430/
2019-04-22T18:24:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-22/debate-politica-territorial_1956006/
2019-04-22T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-22/pacto-gobierno-preferido-psoe-podemos-encuesta_1953718/
2019-04-22T03:00:00Z	https://www.elconfidencial.com/empresas/2019-04-22/el-51-de-los-directivos-cree-que-el-psoe-ganara-las-elecciones-y-vox-superara-a-cs_1951882/
2019-04-21T16:41:00Z	https://www.elconfidencial.com/economia/2019-04-21/elecciones-generales-agenda-semanal-campana-electoral_1953406/
2019-04-20T09:15:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-20/pedro-sanchez-mitin-ecuador-campana-alicante-ximo-puig_1952386/
2019-04-19T03:00:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-19/ordago-pedro-sanchez-debate-electoral-rtve-atresmedia_1951434/
2019-04-16T07:25:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-16/ciudadanos-programa-electoral-nuevo-155-cupo-vasco_1946578/
2019-04-15T14:26:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-15/grupo-whatsapp-pedro-sanchez-lona-calle-goya-ciudadanos_1945138/
2019-04-15T09:48:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-15/escraches-pais-vasco-campana-ciudadanos-vox-sin-estrategia-comun_1943930/
2019-04-14T16:48:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-14/jorge-fernandez-diaz-policia-patriotica-memorias-pp_1943010/
2019-04-14T12:02:00Z	https://www.elconfidencial.com/elecciones-generales/2019-04-14/pedro-sanchez-campana-las-palmas-triunfo-muy-cerca-dialogo-constitucion_1943046/
2019-03-25T22:36:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-25/batalla-final-uk-se-prepara-para-elecciones-anticipadas-y-desbloquear-el-brexit_1903338/
2019-03-25T12:47:00Z	https://www.elconfidencial.com/espana/2019-03-25/juicio-proces-marchena-guardia-civil-evasivas_1901994/
2019-03-24T18:41:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-24/seis-enmiendas-acuerdo-romper-bloqueo-theresa-may-acorralada_1900742/
2019-03-24T18:24:00Z	https://www.elconfidencial.com/economia/2019-03-24/brexit-semana-caotica-amenazas-derrocar-may_1896910/
2019-03-24T11:55:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-24/may-podria-conseguir-el-apoyo-para-el-acuerdo-de-salida-del-brexit-si-dimite_1900362/
2019-03-24T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-24/juicio-proces-preguntas-frikis-tribunal-supremo_1898374/
2019-03-23T15:46:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-23/marcha-people-vote-segundo-referendum-brexit-londres-reino-unido_1899946/
2019-03-22T11:24:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-22/la-foto-que-muestra-la-trastienda-de-la-ue-asi-se-alcanza-un-acuerdo-en-europa_1897962/
2019-03-22T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-22/violencia-lagrimas-guardia-civil-desprecio-1-o_1896590/
2019-03-21T22:39:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-21/la-ue-estudia-retrasar-el-brexit-al-22-de-mayo-si-londres-aprueba-el-acuerdo_1897038/
2019-03-21T15:39:00Z	https://www.elconfidencial.com/economia/2019-03-21/banco-de-inglaterra-tipos-de-interes_1896462/
2019-03-21T04:00:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-21/operacion-yellowwhammer-plan-orden-brexit-caotico_1894762/
2019-03-20T19:54:00Z	https://www.elconfidencial.com/espana/cataluna/2019-03-20/torra-no-dara-la-orden-de-retirar-los-lazos-pero_1894510/
2019-03-20T12:40:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-20/may-pide-a-la-ue-aplazar-el-brexit-hasta-el-30-de-junio-para-tratar-de-desbloquearlo_1893338/
2019-03-20T12:24:00Z	https://www.elconfidencial.com/espana/2019-03-20/juicio-proces-trapero-forn-correos-mossos-1o_1893278/
2019-03-20T09:29:00Z	https://www.elconfidencial.com/espana/2019-03-20/juicio-proces-quim-torra-guardia-civil-papeletas_1892642/
2019-03-19T13:12:00Z	https://www.elconfidencial.com/espana/2019-03-19/juicio-proces-marchena-alonso-martinez-defensas_1891346/
2019-03-19T04:00:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-19/brexit-reino-unido-londres-may-conservadores_1889834/
2019-03-16T04:00:00Z	https://www.elconfidencial.com/espana/2019-03-16/manifestacion-independentista-madrid-recorrido_1885738/
2019-03-15T17:06:00Z	https://www.elconfidencial.com/mundo/europa/2019-03-15/ultimatum-gobierno-may-acuerdo-brexit-prolongacion_1885774/
2019-03-15T09:58:00Z	https://www.elconfidencial.com/espana/2019-03-15/defensas-proces-queja-marchena-suplanto-acusaciones_1884002/
2019-03-14T13:35:00Z	https://www.elconfidencial.com/espana/2019-03-14/juicio-proces-trapero-mossos-error-calculo-fiscalia_1881778/
2019-02-20T18:48:00Z	https://www.elconfidencial.com/espana/2019-02-20/juicio-proces-borras-supremo-consellera-dui_1838170/
2019-02-20T17:55:00Z	https://www.elconfidencial.com/espana/2019-02-20/juicio-proces-bassa-niega-estrategia-conjunta-independencia-pactada_1837834/
2019-02-19T10:18:00Z	https://www.elconfidencial.com/espana/2019-02-19/juicio-proces-turull-declaracion-fiscalia_1834162/
2019-02-19T08:58:00Z	https://www.elconfidencial.com/empresas/2019-02-19/honda-motor-confirma-el-cierre-de-su-planta-britanica-de-swindon-en-2021_1834126/
2019-02-19T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-19/juicio-proces-turull-via-forn-contestara-fiscalia_1832706/
2019-02-16T04:00:00Z	https://www.elconfidencial.com/mundo/europa/2019-02-16/bruselas-no-confia-may-espera-solucion-westminster_1829238/
2019-02-16T04:00:00Z	https://www.elconfidencial.com/espana/2019-02-16/juicio-proces-sanchez-embajadas-independentismo_1828798/
