NOTICIA DE REFERENCIA: 
	https://www.elmundo.es/deportes/baloncesto/nba/2020/02/07/5e3dd42c21efa035088b459f.html
2019-10-18T13:20:34Z	https://www.elmundo.es/espana/2019/10/18/5da9bc1121efa07a6e8b4628.html
2019-10-15T11:16:53Z	https://www.elmundo.es/tecnologia/2019/10/15/5da5a29721efa0c1748b45ae.html
2019-10-15T07:15:15Z	https://www.elmundo.es/internacional/2019/10/15/5da571dafc6c83677c8b4601.html
2019-10-14T23:56:43Z	https://www.elmundo.es/espana/2019/10/15/5da4bfd1fc6c83cc638b45f7.html
2019-10-14T09:01:57Z	https://www.elmundo.es/espana/2019/10/14/5da432cc21efa0752d8b4647.html
2019-10-11T12:55:00Z	https://www.elmundo.es/internacional/2019/10/11/5da0798e21efa0ad238b45b1.html
2019-04-28T00:14:49Z	https://www.elmundo.es/espana/2019/04/28/5cc493a9fdddffd8898b4586.html
2019-04-23T13:30:02Z	https://www.elmundo.es/espana/2019/04/23/5cbf134efdddff802a8b45f1.html
2019-04-23T12:24:29Z	https://www.elmundo.es/espana/2019/04/23/5cbf03ef21efa01d7a8b4682.html
2019-03-14T13:40:42Z	https://www.elmundo.es/espana/2019/03/14/5c8a59cbfdddff1c578b45b4.html
2019-03-14T10:13:14Z	https://www.elmundo.es/espana/2019/03/14/5c8a13c2fdddffd4148b47cf.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + autorNoticia

2020-02-05T12:54:54Z	https://www.elmundo.es/salud/2020/02/05/5e3abb0221efa08f2a8b45a4.html
2020-02-04T09:52:11Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/02/04/5e393e9cfc6c834d418b47c8.html
2020-02-02T20:45:39Z	https://www.elmundo.es/deportes/mas-deporte/2020/02/02/5e3734dffc6c8357498b45ae.html
2020-01-29T09:11:09Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/29/5e314c1ffdddff01428b45b0.html
2020-01-29T01:25:27Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/29/5e30dee8fdddffa3608b45ba.html
2020-01-28T20:41:46Z	https://www.elmundo.es/salud/2020/01/28/5e309c3afdddff01428b4594.html
2020-01-27T09:31:19Z	https://www.elmundo.es/deportes/baloncesto/2020/01/27/5e2ea41421efa0273a8b4575.html
2019-12-03T11:51:03Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/03/5de64183fdddff780b8b4646.html
2019-10-18T13:20:34Z	https://www.elmundo.es/espana/2019/10/18/5da9bc1121efa07a6e8b4628.html
2019-10-15T16:20:50Z	https://www.elmundo.es/espana/2019/10/15/5da5f1d1fdddff01928b45eb.html
2019-10-14T12:24:16Z	https://www.elmundo.es/espana/2019/10/14/5da468d4fc6c83cc668b45a2.html
2019-10-05T00:02:14Z	https://www.elmundo.es/espana/2019/10/05/5d97a214fdddff1a0a8b46b0.html
2019-04-23T13:30:02Z	https://www.elmundo.es/espana/2019/04/23/5cbf134efdddff802a8b45f1.html
2019-04-16T12:06:42Z	https://www.elmundo.es/espana/2019/04/16/5cb5c543fc6c8305158b45f4.html
2019-04-16T07:40:28Z	https://www.elmundo.es/espana/2019/04/16/5cb586db21efa025318b4573.html
2019-04-15T10:03:06Z	https://www.elmundo.es/espana/2019/04/15/5cb456ca21efa0af3f8b465b.html
2019-03-20T14:33:13Z	https://www.elmundo.es/espana/2019/03/20/5c924f1721efa0c90d8b467d.html
2019-03-20T10:04:46Z	https://www.elmundo.es/espana/2019/03/20/5c92102f21efa0eb478b462b.html
2019-03-19T17:27:29Z	https://www.elmundo.es/espana/2019/03/19/5c912674fdddff025b8b4578.html
2019-03-15T13:50:35Z	https://www.elmundo.es/espana/2019/03/15/5c8bad9c21efa05a1d8b456f.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + tagsNoticia

2020-02-02T20:45:39Z	https://www.elmundo.es/deportes/mas-deporte/2020/02/02/5e3734dffc6c8357498b45ae.html
2020-01-29T20:46:05Z	https://www.elmundo.es/deportes/mas-deporte/2020/01/29/5e31eeb3fc6c831e1f8b462f.html
2020-01-29T09:11:09Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/29/5e314c1ffdddff01428b45b0.html
2020-01-29T08:00:00Z	https://www.elmundo.es/deportes/baloncesto/2020/01/29/5e313a50fdddff21638b4594.html
2020-01-29T01:25:27Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/29/5e30dee8fdddffa3608b45ba.html
2020-01-28T20:41:46Z	https://www.elmundo.es/salud/2020/01/28/5e309c3afdddff01428b4594.html
2020-01-28T16:13:16Z	https://www.elmundo.es/deportes/futbol/2020/01/28/5e305d8cfc6c83a86f8b45cf.html
2020-01-28T10:32:46Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/28/5e300db421efa01f178b4609.html
2020-01-27T20:58:06Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/27/5e2f4ecc21efa01f178b45d2.html
2020-01-27T16:58:23Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/27/5e2f142b21efa0b3668b45fd.html
2020-01-27T09:31:19Z	https://www.elmundo.es/deportes/baloncesto/2020/01/27/5e2ea41421efa0273a8b4575.html
2020-01-25T10:45:28Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/25/5e2c19e4fdddff444a8b4613.html
2020-01-21T14:41:06Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/21/5e270d00fdddffc9088b463f.html
2019-12-01T17:29:30Z	https://www.elmundo.es/madrid/2019/12/01/5de3f156fc6c8354058b4594.html
2019-10-20T00:14:43Z	https://www.elmundo.es/opinion/2019/10/20/5dab21c021efa031058b4578.html
2019-10-19T10:59:37Z	https://www.elmundo.es/cataluna/2019/10/19/5daae82cfdddff13288b4572.html
2019-10-15T05:27:57Z	https://www.elmundo.es/espana/2019/10/15/5da55711fdddffde938b45b1.html
2019-10-14T12:24:16Z	https://www.elmundo.es/espana/2019/10/14/5da468d4fc6c83cc668b45a2.html
2019-04-23T13:30:02Z	https://www.elmundo.es/espana/2019/04/23/5cbf134efdddff802a8b45f1.html
2019-04-15T10:03:06Z	https://www.elmundo.es/espana/2019/04/15/5cb456ca21efa0af3f8b465b.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + cuerpoNoticia

2020-02-05T12:54:54Z	https://www.elmundo.es/salud/2020/02/05/5e3abb0221efa08f2a8b45a4.html
2020-02-04T09:52:11Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/02/04/5e393e9cfc6c834d418b47c8.html
2020-01-31T13:57:42Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/31/5e343248fc6c8342178b45dd.html
2020-01-31T08:36:12Z	https://www.elmundo.es/deportes/baloncesto/2020/01/31/5e33e4c9fdddff1a3a8b45a3.html
2020-01-29T15:11:34Z	https://www.elmundo.es/deportes/futbol/2020/01/29/5e31a09521efa0983a8b45b1.html
2020-01-29T09:11:09Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/29/5e314c1ffdddff01428b45b0.html
2020-01-28T22:49:57Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/28/5e308def21efa098578b469e.html
2020-01-27T20:58:06Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/27/5e2f4ecc21efa01f178b45d2.html
