NOTICIA DE REFERENCIA: https://elpais.com/sociedad/2020/02/01/actualidad/1580569994_549942.html
Algoritmo: SIMILITUD_JACCARD_FH	 Atributos: tagsNoticia
2020-01-28T20:39:29Z	https://elpais.com/politica/2020/01/28/actualidad/1580213506_643563.html
2020-01-28T19:15:38Z	https://elpais.com/politica/2020/01/28/actualidad/1580204408_409484.html
2020-01-28T16:41:09Z	https://elpais.com/internacional/2020/01/27/actualidad/1580116563_834218.html
2020-01-28T16:37:29Z	https://elpais.com/politica/2020/01/28/actualidad/1580199048_590617.html
2020-01-28T13:29:42Z	https://elpais.com/sociedad/2020/01/28/actualidad/1580213209_176225.html
2020-01-28T12:45:54Z	https://elpais.com/elpais/2020/01/28/ciencia/1580211861_529651.html
2020-01-28T09:10:13Z	https://elpais.com/politica/2020/01/27/actualidad/1580133877_123893.html
2020-01-28T08:14:13Z	https://elpais.com/sociedad/2020/01/27/actualidad/1580129884_316684.html
2020-01-28T07:35:52Z	https://elpais.com/economia/2020/01/27/actualidad/1580157132_508475.html
2020-01-27T23:05:33Z	https://elpais.com/elpais/2020/01/20/planeta_futuro/1579521358_461007.html
2020-01-27T23:05:33Z	https://elpais.com/elpais/2020/01/24/planeta_futuro/1579868475_625404.html
2020-01-27T20:17:44Z	https://elpais.com/ccaa/2020/01/27/madrid/1580134652_714497.html
2020-01-27T18:52:47Z	https://elpais.com/sociedad/2020/01/27/actualidad/1580125164_352000.html
2020-01-27T15:59:00Z	https://elpais.com/internacional/2020/01/27/actualidad/1580123880_862500.html
2020-01-27T15:57:15Z	https://elpais.com/elpais/2020/01/27/laboratorio_de_felicidad/1580113039_219356.html
2020-01-27T14:11:50Z	https://elpais.com/politica/2020/01/26/actualidad/1580060803_338074.html
2020-01-27T13:35:45Z	https://elpais.com/internacional/2020/01/26/actualidad/1580071438_382245.html
2020-01-27T10:32:13Z	https://elpais.com/sociedad/2020/01/26/actualidad/1580066955_089698.html
2020-01-27T08:53:37Z	https://elpais.com/economia/2020/01/27/actualidad/1580114746_847789.html
2020-01-27T08:23:12Z	https://elpais.com/internacional/2020/01/26/actualidad/1580064949_817930.html
2020-01-27T06:39:26Z	https://elpais.com/sociedad/2020/01/25/actualidad/1579977723_505791.html
2020-01-26T23:47:57Z	https://elpais.com/sociedad/2020/01/26/actualidad/1580069572_052530.html
2020-01-26T23:00:30Z	https://elpais.com/elpais/2020/01/19/opinion/1579452402_749478.html
2020-01-26T19:41:16Z	https://elpais.com/sociedad/2020/01/26/actualidad/1580040757_358740.html
2020-01-26T12:18:40Z	https://elpais.com/elpais/2020/01/22/sesenta_y_tantos/1579716394_467399.html
2020-01-26T04:24:38Z	https://elpais.com/sociedad/2020/01/25/actualidad/1579981637_210712.html
2020-01-26T00:15:02Z	https://elpais.com/sociedad/2020/01/25/actualidad/1579928257_278133.html
2020-01-25T23:00:57Z	https://elpais.com/elpais/2020/01/23/ideas/1579784679_453339.html
2020-01-25T23:00:13Z	https://elpais.com/sociedad/2020/01/26/actualidad/1580064143_717649.html
2020-01-25T23:00:10Z	https://elpais.com/elpais/2020/01/24/ideas/1579862649_837380.html
2020-01-25T21:48:46Z	https://elpais.com/politica/2020/01/25/actualidad/1579986615_698194.html
2020-01-25T19:12:57Z	https://elpais.com/economia/2020/01/25/actualidad/1579952826_515616.html
2020-01-25T19:02:50Z	https://elpais.com/sociedad/2020/01/25/actualidad/1579954665_551234.html
2020-01-25T17:38:14Z	https://elpais.com/politica/2020/01/25/actualidad/1579953643_629569.html
2020-01-25T13:09:46Z	https://elpais.com/politica/2020/01/24/actualidad/1579853378_597651.html
2020-01-25T12:51:08Z	https://elpais.com/sociedad/2020/01/24/actualidad/1579885326_284290.html
2020-01-25T07:30:07Z	https://elpais.com/elpais/2020/01/24/mamas_papas/1579869982_422846.html
