NOTICIA DE REFERENCIA: https://www.20minutos.es/noticia/4180255/0/la-revuelta-feminista-toma-espana-pero-con-menor-asistencia-que-en-los-dos-ultimos-anos/
Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia
2020-03-02T18:16:04Z	https://www.20minutos.es/noticia/4172327/0/cancelaciones-en-cascada-en-casi-todas-las-companias-aereas-ryanair-delta-lufthansa-british-airways/
2020-02-09T16:35:59Z	https://www.20minutos.es/noticia/4146277/0/crucero-diamond-princess-registra-casos-coronavirus-foco-grande-fuera-china/
2020-02-09T09:16:18Z	https://www.20minutos.es/noticia/4145960/0/sanidad-segundo-caso-coronavirus-espana-mallorca/
2020-02-08T14:42:29Z	https://www.20minutos.es/videos/internacional/4145710-contagiados-coronavirus-paises-fuera-china/
2020-02-08T09:46:45Z	https://www.20minutos.es/noticia/4145425/0/crisis-coronavirus-estadounidense-convierte-primer-extranjero-muerto-virus/
2020-02-04T19:11:33Z	https://www.20minutos.es/noticia/4141589/0/consellera-catalana-rechaza-posar-foto-reunion-coronavirus/
2020-02-04T18:49:40Z	https://www.20minutos.es/noticia/4141560/0/un-hombre-es-arrestado-por-bromear-con-estar-contagiado-con-el-coronavirus-durante-un-vuelo/
2020-02-03T12:41:48Z	https://www.20minutos.es/noticia/4139525/0/no-soy-un-virus-asiaticos-denuncian-racismo-coronavirus/
2020-02-03T11:58:15Z	https://www.20minutos.es/noticia/4139588/0/repatriacion-espanoles-wuhan-posible-gracias-aerolinea-wamosair/
2020-02-02T17:37:26Z	https://www.20minutos.es/noticia/4139117/0/cientificos-italianos-consiguen-aislar-secuencia-coronavirus/
2020-02-02T16:43:07Z	https://www.20minutos.es/noticia/4139070/0/puede-brexit-hacer-paris-primera-plaza-financiera-europea/
2020-02-02T15:46:23Z	https://www.20minutos.es/noticia/4139008/0/espanoles-gomez-ulla-reciben-comida-ropa-familiares/
2020-02-02T12:23:38Z	https://www.20minutos.es/videos/nacional/4138890-sanidad-cree-probable-nino-hospitalizado-barcelona-padezca-gripe-coronavirus/
2020-02-02T10:55:24Z	https://www.20minutos.es/noticia/4138773/0/investigan-caso-nino-8-anos-sospechoso-coronavirus-barcelona/
2020-02-02T10:24:49Z	https://www.20minutos.es/noticia/4138763/0/infectado-coronavirus-la-gomera-evoluciona-bien-reducir-chinofobia-calles/
2020-02-02T08:04:20Z	https://www.20minutos.es/noticia/4138735/0/balance-muertos-coronavirus-china-contagiados/
2020-02-02T07:46:23Z	https://www.20minutos.es/noticia/4138733/0/oms-confirma-primera-muerte-coronavirus-fuera-china/
2020-02-02T07:40:47Z	https://www.20minutos.es/noticia/4138100/0/coronavirus-bulos-teorias-conspirativas/
2020-01-31T22:25:28Z	https://www.20minutos.es/noticia/4138164/0/primer-caso-de-coronavirus-en-espana-un-paciente-da-positivo-en-la-gomera/
2020-01-31T17:24:42Z	https://www.20minutos.es/noticia/4137955/0/imagen-hombre-muerto-calle-wuhan-coronavirus/
2020-01-31T12:25:00Z	https://www.20minutos.es/noticia/4137468/0/coronavirus-mascarilla-perros/
2020-01-31T11:21:55Z	https://www.20minutos.es/noticia/4137334/0/avion-espanoles-wuhan-camino-reino-unido-parar-antes-llegar-espana/
2020-01-31T10:59:13Z	https://www.20minutos.es/noticia/4137336/0/el-parlamento-europeo-reconoce-a-clara-ponsati-como-eurodiputada/
2020-01-31T10:56:39Z	https://www.20minutos.es/noticia/4137290/0/no-solo-cavadas-duda-trabajadores-confirman-cifra-muertos-coronavirus-mayor/
2020-01-30T19:54:02Z	https://www.20minutos.es/noticia/4136959/0/oms-decreta-emergencia-sanitaria-mundial/
2020-01-30T15:04:16Z	https://www.20minutos.es/noticia/4136548/0/numero-casos-coronavirus-wuhan-mundo-grafico-mapa/
2020-01-30T12:51:13Z	https://www.20minutos.es/videos/internacional/4136261-los-espanoles-atrapados-en-wuhan-pasaran-14-dias-de-cuarentena-en-madrid/
2020-01-29T07:45:26Z	https://www.20minutos.es/noticia/4134458/0/ultimas-noticias-coronavirus-wuhan-directo/
2020-01-28T20:16:33Z	https://www.20minutos.es/noticia/4134244/0/coronavirus-dispara-alarmas-venta-mascarillas-agotadas-farmacias/
2020-01-27T17:53:27Z	https://www.20minutos.es/noticia/4132407/0/vigilantes-denuncian-falta-medios-proteccion-aeropuerto-barajas-coronavirus/
2020-01-27T16:07:42Z	https://www.20minutos.es/noticia/4132379/0/pekin-anuncia-su-primer-fallecido-por-el-brote-de-coronavirus/
