NOTICIA DE REFERENCIA: 
	https://elpais.com/cultura/2019/04/27/actualidad/1556380153_549141.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-02-15T17:20:13Z	https://elpais.com/politica/2019/02/15/actualidad/1550240581_177937.html
2019-02-15T09:55:41Z	https://elpais.com/politica/2019/02/14/actualidad/1550161825_664078.html
2019-02-15T09:40:37Z	https://elpais.com/politica/2019/02/14/actualidad/1550153988_363615.html
2019-02-13T17:37:29Z	https://elpais.com/politica/2019/02/13/actualidad/1550073823_447267.html
2019-02-13T12:22:21Z	https://elpais.com/politica/2019/02/12/actualidad/1549991634_326769.html
2019-02-13T11:37:12Z	https://elpais.com/politica/2019/02/12/actualidad/1549991521_311244.html
2019-02-13T11:03:55Z	https://elpais.com/elpais/2019/02/12/opinion/1549997385_752146.html
2019-02-13T07:46:10Z	https://elpais.com/politica/2019/02/12/actualidad/1549989716_911033.html
2019-02-12T19:22:29Z	https://elpais.com/politica/2019/02/11/actualidad/1549917341_157574.html
2019-02-12T09:32:20Z	https://elpais.com/politica/2019/01/30/actualidad/1548865170_418898.html
2019-02-11T19:19:20Z	https://elpais.com/elpais/2019/02/11/opinion/1549908403_480146.html
2019-02-11T17:12:50Z	https://elpais.com/politica/2019/02/09/actualidad/1549740306_750094.html
2019-02-11T10:32:29Z	https://elpais.com/politica/2019/02/11/actualidad/1549845123_512919.html
2019-02-09T23:00:00Z	https://elpais.com/elpais/2019/02/09/opinion/1549733098_174533.html
2019-02-09T13:52:07Z	https://elpais.com/ccaa/2019/02/09/catalunya/1549700212_086537.html
2019-02-09T13:51:06Z	https://elpais.com/ccaa/2019/02/09/catalunya/1549701770_612227.html
2019-02-08T11:34:56Z	https://elpais.com/politica/2019/02/06/actualidad/1549491920_029554.html
2019-02-06T23:00:13Z	https://elpais.com/elpais/2019/02/06/opinion/1549476847_703209.html
2019-02-06T11:28:20Z	https://elpais.com/ccaa/2019/02/06/catalunya/1549438411_813054.html
2019-02-02T18:03:15Z	https://elpais.com/ccaa/2019/02/02/catalunya/1549109317_249315.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + resumenNoticia

2019-04-28T15:06:14Z	https://elpais.com/elpais/2019/04/26/icon_design/1556296401_058318.html
2019-04-25T21:15:45Z	https://elpais.com/elpais/2019/04/24/paco_nadal/1556134245_307614.html
2019-04-20T22:00:00Z	https://elpais.com/elpais/2019/04/20/opinion/1555780226_545616.html
2019-04-18T22:02:34Z	https://elpais.com/elpais/2019/04/18/gente/1555584697_190119.html
2019-04-18T21:28:03Z	https://elpais.com/cultura/2019/04/17/actualidad/1555531561_800883.html
2019-04-18T07:08:45Z	https://elpais.com/cultura/2019/04/17/actualidad/1555499782_313410.html
2019-04-16T22:00:27Z	https://elpais.com/elpais/2019/04/16/opinion/1555425243_571004.html
2019-04-16T21:30:40Z	https://elpais.com/sociedad/2019/04/16/actualidad/1555435892_325415.html
2019-04-16T19:22:12Z	https://elpais.com/cultura/2019/04/16/actualidad/1555412193_499224.html
2019-04-16T12:01:08Z	https://elpais.com/internacional/2019/04/15/estados_unidos/1555356066_396871.html
2019-04-16T12:00:45Z	https://elpais.com/internacional/2019/04/15/actualidad/1555328528_882043.html
2019-03-19T20:11:06Z	https://elpais.com/economia/2019/03/19/actualidad/1553010790_966430.html
2019-03-19T16:31:12Z	https://elpais.com/internacional/2019/03/19/actualidad/1552983067_837330.html
2019-03-17T23:00:18Z	https://elpais.com/elpais/2019/03/17/opinion/1552843819_937148.html
2019-03-16T19:17:02Z	https://elpais.com/internacional/2019/03/15/actualidad/1552658089_291509.html
2019-02-21T07:34:08Z	https://elpais.com/politica/2019/02/20/actualidad/1550695156_028877.html
2019-02-20T19:00:37Z	https://elpais.com/politica/2019/02/20/actualidad/1550666027_300702.html
2019-02-19T23:00:00Z	https://elpais.com/elpais/2019/02/19/opinion/1550603400_476245.html
2019-02-15T09:55:41Z	https://elpais.com/politica/2019/02/14/actualidad/1550161825_664078.html
2019-02-15T09:40:37Z	https://elpais.com/politica/2019/02/14/actualidad/1550153988_363615.html
2019-02-14T11:24:22Z	https://elpais.com/politica/2019/02/13/actualidad/1550082903_330105.html
2019-02-13T17:37:29Z	https://elpais.com/politica/2019/02/13/actualidad/1550073823_447267.html
2019-02-13T11:37:12Z	https://elpais.com/politica/2019/02/12/actualidad/1549991521_311244.html
2019-02-13T08:05:23Z	https://elpais.com/politica/2019/02/12/actualidad/1550003502_809986.html
2019-02-13T07:46:10Z	https://elpais.com/politica/2019/02/12/actualidad/1549989716_911033.html
2019-02-12T09:32:20Z	https://elpais.com/politica/2019/01/30/actualidad/1548865170_418898.html
2019-02-12T09:32:17Z	https://elpais.com/ccaa/2019/02/11/catalunya/1549915314_056223.html
2019-02-11T19:19:20Z	https://elpais.com/elpais/2019/02/11/opinion/1549908403_480146.html
2019-02-11T19:16:53Z	https://elpais.com/elpais/2019/02/11/opinion/1549911797_175752.html
2019-02-11T10:32:29Z	https://elpais.com/politica/2019/02/11/actualidad/1549845123_512919.html
2019-02-10T23:00:47Z	https://elpais.com/elpais/2019/02/06/opinion/1549471702_318099.html
2019-02-09T23:00:00Z	https://elpais.com/elpais/2019/02/09/opinion/1549733098_174533.html
2019-02-09T13:52:07Z	https://elpais.com/ccaa/2019/02/09/catalunya/1549700212_086537.html
2019-02-09T13:51:06Z	https://elpais.com/ccaa/2019/02/09/catalunya/1549701770_612227.html
