NOTICIA DE REFERENCIA: https://www.elmundo.es/deportes/baloncesto/nba/2020/02/07/5e3dd42c21efa035088b459f.html
Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia
2020-01-27T07:18:10Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/27/5e2e8e33fc6c83cb278b459d.html
2020-01-27T00:14:58Z	https://www.elmundo.es/deportes/baloncesto/2020/01/27/5e2e251321efa05c6f8b46c3.html
2020-01-26T21:16:08Z	https://www.elmundo.es/deportes/baloncesto/2020/01/26/5e2e018321efa0b6338b4693.html
2020-01-26T06:08:53Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/26/5e2d2cdafdddff8ba78b4574.html
2020-01-25T12:36:27Z	https://www.elmundo.es/internacional/2020/01/25/5e2c355cfdddff1e488b463e.html
2020-01-25T10:45:28Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/25/5e2c19e4fdddff444a8b4613.html
2020-01-22T21:08:34Z	https://www.elmundo.es/internacional/2020/01/22/5e28b62a21efa0c8768b45e3.html
2020-01-21T14:41:06Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/21/5e270d00fdddffc9088b463f.html
2020-01-20T09:29:13Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/20/5e25728b21efa0f4078b4693.html
2019-12-05T21:30:33Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/05/5de92fd5fdddff784d8b4577.html
2019-12-05T16:03:49Z	https://www.elmundo.es/ciencia-y-salud/salud/2019/12/05/5de63a10fdddffa8708b45bc.html
2019-12-05T01:04:02Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/05/5de7da59fc6c83194a8b45ff.html
2019-12-04T19:40:09Z	https://www.elmundo.es/madrid/2019/12/04/5de80b78fdddff80968b4666.html
2019-12-04T18:50:46Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/04/5de7f915fc6c83c8638b4640.html
2019-12-04T14:47:57Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/04/5de0e63a21efa0f7358b45ec.html
2019-12-04T10:05:23Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/04/5de7824dfdddff42bf8b45bb.html
2019-12-03T11:51:03Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/03/5de64183fdddff780b8b4646.html
2019-12-03T01:49:48Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/03/5de5652521efa0213f8b45db.html
2019-12-02T19:07:27Z	https://www.elmundo.es/ciencia-y-salud/salud/2019/12/02/5de510dafdddffe3bd8b459f.html
2019-12-02T18:55:20Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/02/5de55cb3fdddfffb8b8b464b.html
2019-12-02T18:40:39Z	https://www.elmundo.es/espana/2019/12/02/5de55a96fc6c83d0128b46b7.html
2019-12-02T12:07:24Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/02/5de4e9da21efa0a85c8bfc33.html
2019-12-02T10:41:39Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/02/5de13f8e21efa0b5288b45e1.html
2019-12-02T10:19:58Z	https://www.elmundo.es/espana/elecciones-generales/2019/12/02/5de4e53bfdddff0d988b457c.html
2019-12-02T09:36:41Z	https://www.elmundo.es/f5/mira/2019/12/02/5de4da8721efa016598b45ec.html
2019-12-02T00:39:08Z	https://www.elmundo.es/opinion/editorial/2019/12/02/5de3fafc21efa0d0098b45a1.html
2019-12-01T17:29:30Z	https://www.elmundo.es/madrid/2019/12/01/5de3f156fc6c8354058b4594.html
2019-12-01T01:00:52Z	https://www.elmundo.es/ciencia-y-salud/ciencia/2019/12/01/5ddfe9ddfdddffa3a58b4590.html
